id_choque,tipo_choque,data_choque,hora_choque,latitude_choque,longitude_choque,velocidade_choque,posicao_choque,trecho_choque,forca_maxima_choque,ACT_choque,PEG_choque,id_vagao,id_viagem
1,0,09/09/2022,17:53:12,"-7,92248918","-38,25913973","10,08","380,21",T3,"138,5361399","14,80786796","88,19438049",23,1
2,0,09/09/2022,17:53:13,"-7,92249382","-38,25912523","10,08","380,21",T3,"139,8999733","15,08140775","88,21980438",23,1
3,0,09/09/2022,17:53:14,"-7,92250074","-38,25910244","10,2888","380,21",T3,"136,2487658","16,46240382","88,23957852",23,1
4,0,09/09/2022,17:53:15,"-7,92251166","-38,25906842","10,44","380,21",T3,"140,1577056","15,79375098","88,27771436",23,1
5,0,09/09/2022,17:53:16,"-7,92252242","-38,25903365","10,4994","380,2",T3,"138,3106241","13,99104773","88,23957852",23,1
6,0,09/09/2022,17:53:17,"-7,92252634","-38,25902042","10,6758","380,2",T3,"138,3106241","15,57909822","88,2353412",23,1
7,0,09/09/2022,17:53:17,"-7,92252982","-38,25900894","10,8","380,2",T3,"136,2648741","15,86403551","88,2240417",23,1
8,0,10/09/2022,06:17:56,"-8,886244635","-36,48294843","12,96","117,71",T3,"139,7388906","13,72510626","89,25512172",24,1
9,0,10/09/2022,06:17:56,"-8,886247225","-36,48293548","12,96","117,71",T3,"140,7161255","13,8257841","89,24523466",24,1
10,0,10/09/2022,06:17:57,"-8,886258725","-36,48288535","12,96","117,7",T3,"136,6138866","13,43067106","89,28619537",24,1
11,0,10/09/2022,06:17:57,"-8,886259495","-36,48288161","12,96","117,7",T3,"137,0112238","13,394579","89,28760781",24,1
12,0,10/09/2022,06:17:58,"-8,886260195","-36,48287821","12,96","117,7",T3,"137,3226504","13,36608528","89,26924611",24,1
13,0,10/09/2022,06:17:58,"-8,88626114","-36,48287362","12,96","117,7",T3,"136,162855","13,26730702","89,26359635",24,1
14,0,10/09/2022,06:17:58,"-8,88626163","-36,48287124","12,96","117,7",T3,"137,4300388","13,27680492","89,26924611",24,1
15,0,10/09/2022,06:17:58,"-8,88626424","-36,48285745","12,96","117,69805",T3,"140,5174569","13,39077984","89,25653416",24,1
16,0,10/09/2022,06:17:58,"-8,8862649","-36,4828536","12,96","117,69695",T3,"139,7603683","13,36418569","89,24382222",24,1
17,0,10/09/2022,06:17:59,"-8,88626646","-36,4828445","12,96","117,69435",T3,"137,8810703","13,52185099","89,24664709",24,1
18,0,10/09/2022,06:17:59,"-8,88626721","-36,48284013","12,96","117,6931",T3,"139,3845087","13,49525685","89,23534759",24,1
19,0,10/09/2022,06:17:59,"-8,886269485","-36,48282729","12,96","117,69",T3,"141,1349405","13,49335726","89,22828539",24,1
20,0,10/09/2022,06:17:59,"-8,886270325","-36,48282333","12,96","117,69",T3,"138,6166812","13,44966688","89,21274857",24,1
21,0,10/09/2022,06:17:59,"-8,886271165","-36,48281937","12,96","117,69",T3,"138,0206753","13,60923176","89,23534759",24,1
22,0,10/09/2022,06:17:59,"-8,886272005","-36,48281541","12,96","117,69",T3,"139,0945599","13,67001838","89,22687296",24,1
23,0,10/09/2022,06:18:00,"-8,886272845","-36,48281145","12,96","117,69",T3,"138,5092928","13,67951629","89,23393515",24,1
24,0,10/09/2022,06:18:00,"-8,886274735","-36,48280254","12,96","117,69",T3,"137,6287075","13,67951629","89,22687296",24,1
25,0,10/09/2022,06:18:00,"-8,886275575","-36,48279858","12,96","117,69",T3,"136,9306825","13,70611044","89,23676003",24,1
26,0,10/09/2022,06:18:00,"-8,88627645","-36,48279435","12,96","117,69",T3,"136,5172369","13,71370877","89,21557345",24,1
27,0,10/09/2022,06:18:00,"-8,88627764","-36,4827884","12,96","117,69",T3,"137,3924529","13,81248703","89,24099734",24,1
28,0,10/09/2022,06:18:00,"-8,886278305","-36,48278508","12,96","117,69",T3,"137,0971346","13,83148285","89,24240978",24,1
29,0,10/09/2022,06:18:01,"-8,88628023","-36,48277545","12,96","117,69",T3,"137,7360959","13,97395149","89,24099734",24,1
30,0,10/09/2022,06:18:01,"-8,8862824","-36,4827646","12,96","117,69",T3,"137,6394463","14,30447875","89,2579466",24,1
31,0,10/09/2022,06:18:02,"-8,88628688","-36,48274031","12,96","117,68365",T3,"136,5924089","14,65400182","89,2763083",24,1
32,0,10/09/2022,06:18:02,"-8,88628754","-36,48273668","12,96","117,68255",T3,"136,1950716","14,66349973","89,28054562",24,1
33,0,10/09/2022,06:18:02,"-8,88628805","-36,48273388","12,96","117,6817",T3,"136,3078295","14,68249555","89,26924611",24,1
34,0,10/09/2022,06:18:02,"-8,88628856","-36,48273107","12,96","117,68085",T3,"136,6944279","14,6559014","89,28760781",24,1
35,0,10/09/2022,06:18:05,"-8,886311865","-36,48260728","13,32","117,67",T3,"136,0339889","14,41655408","89,23393515",24,1
